Year,Month,AAPL,GOOG
1999,12,2.4484,
2000,1,2.4614,
2000,2,2.6586,
2000,3,3.0602,
2000,4,2.9317,
2000,5,2.4007,
2000,6,2.3387,
2000,7,2.5605,
2000,8,2.4439,
2000,9,2.6556,
2000,10,0.9799,
2000,11,0.9310,
2000,12,0.7129,
2001,1,0.8780,
2001,2,0.9350,
2001,3,0.9884,
2001,4,1.0820,
2001,5,1.1208,
2001,6,1.0255,
2001,7,1.0222,
2001,8,0.8881,
2001,9,0.7907,
2001,10,0.8250,
2001,11,0.9359,
2001,12,1.0333,
2002,1,1.0767,
2002,2,1.1344,
2002,3,1.1546,
2002,4,1.1697,
2002,5,1.1486,
2002,6,0.9315,
2002,7,0.7786,
2002,8,0.7225,
2002,9,0.6918,
2002,10,0.6978,
2002,11,0.7603,
2002,12,0.7007,
2003,1,0.6894,
2003,2,0.6984,
2003,3,0.6955,
2003,4,0.6596,
2003,5,0.8464,
2003,6,0.8657,
2003,7,0.9646,
2003,8,0.9824,
2003,9,1.0551,
2003,10,1.0959,
2003,11,1.0289,
2003,12,0.9847,
2004,1,1.0860,
2004,2,1.0862,
2004,3,1.2478,
2004,4,1.3110,
2004,5,1.2897,
2004,6,1.4923,
2004,7,1.4903,
2004,8,1.5121,52.2910
2004,9,1.7473,56.2477
2004,10,2.1130,76.1204
2004,11,2.7370,88.1741
2004,12,3.0720,90.2977
2005,1,3.2973,95.7999
2005,2,3.9881,96.8768
2005,3,4.0006,89.9938
2005,4,3.6894,98.9637
2005,5,3.5552,119.0805
2005,6,3.5808,142.8437
2005,7,3.8971,148.1422
2005,8,4.2928,142.5347
2005,9,4.8595,151.1368
2005,10,5.1380,160.1933
2005,11,6.0542,198.2780
2005,12,6.9545,208.1223
2006,1,7.4120,221.4159
2006,2,6.6222,183.8048
2006,3,6.0998,178.2746
2006,4,6.3826,205.5520
2006,5,6.3615,190.6577
2006,6,5.5925,195.5251
2006,7,5.5126,200.4634
2006,8,6.3645,187.3260
2006,9,7.0354,197.2481
2006,10,7.3468,218.8439
2006,11,8.1297,241.2471
2006,12,8.2371,235.2186
2007,1,8.4666,243.7054
2007,2,8.1662,232.0991
2007,3,8.6306,224.9925
2007,4,8.9261,234.7224
2007,5,10.3645,234.9772
2007,6,11.5924,255.8464
2007,7,12.9646,264.5196
2007,8,12.3686,253.2680
